,Tweet,Sentiment
240,hammer house hold state class iia hammer enterprising strong understand evaluation holding electronic bus command system spbe information technology data center kemenkumham r i virtual friday,Positive
241,rupbasan class i jayapura actively evaluating the implementation of the electronic bash command system spbe regional office technical management unit ranks minister of law ham ri pusdatin kemenkumham ri jayapura august,Negative
242,kuala tungkal steady effort to organize an electronic bus command system spbe kalapas kuala tungkal sugiharto accompany the subdivision head muhammad ilham santoso jajar be very active and understand,Negative
243,pusdatin ministry of law and human rights ri fish strong understands evaluation organizes electronic bus command system spbe jajar environment ministry of law  virtual ham,Positive
244,friday august rupbasan class i field kemenkumham sumut gt gt gt manifests the implementation of the electronic bus command system rupbasan class i strong field understands the evaluation of the implementation of spbe regional office upt laksana online,Positive
245,support the ministry of law and human rights spbe level aiming for the title of muas head of administrative division  active  strong  understands evaluation of the implementation of spbe s electronic bus command system,Positive
246,head of class i padang karto rahardjo is very active in understanding evaluation of organizing an electronic bus command system spbe regional office of upt holding a virtual technology data center friday zoom meeting,Negative
247,spbe short form electronic bus command system electronic bus command system spbe organizes commands for the benefits of information technology communication to serve spbe,Neutral
248,hola sohib pika piki friday community hall class i south jakarta regional office kemenkumham dki jakarta strong understanding of evaluation holding electronic bus command system spbe regional office technical implementation unit upt,Positive
249,the regional office of the minister of law ham banten attended strongly to understand the evaluation of the spbe electronic bus command system,Positive
250,greetings  friday  august  acting head of kotabumi prison is very active in understanding the evaluation of the implementation of the electronic bus command system spbe virtual spbe evaluation of ministerial appointments,Negative
251,ka rupbasan suprayitno jajar is hardworking understands the evaluation of the electronic bus command system spbe regional office upt virtual zoom complete,Positive
252,spbe e government electronic bus command system organizes orders that benefit from information technology and communication services for government agencies to conduct public business,Neutral
253,river full friday subsection head manages class iib detention center full river frengki astin strong understanding evaluation organizes electronic bus command system spbe virtual,Positive
254,strongly understand evaluation of implementing an electronic bus command system spbe regional office regional office technical implementation unit upt,Positive
255,hello  friends of the ranks of the taban class iib prison community  gathered the hall of chandra prabhawa  strong understanding of the evaluation of the implementation of the spbe virtual friday electronic bus command system,Positive
256,friday august structural position of employee in information technology function area of  prison class iib nunukan hard working understanding evaluation holding electronic bus command system spbe virtual,Negative
257,the ranks of the batam strong prison understand the evaluation of the virtual spbe electronic bus order system friday august,Positive
258,the regional office of the minister of law ham diy present strong understanding of evaluation holding an electronic bus command system spbe holding information data center pusdatin regional office of kemenkumham diy imam jauhari,Positive
259,class ii immigration office employee position tpi siak strong understands evaluation of holding electronic bus order system spbe virtual event head of class ii immigration office tpi siak yanto plh give tikkim,Positive
260,permanent form of electronic bash command system class i prison harbor deli regional office of kumham north sumatra strong understanding of evaluation held spbe regional office upt,Positive
261,sumbawa immigration office class ii tpi sumbawa regional office of the ministry of law and human rights ntb is very active in understanding the evaluation of implementing an electronic bus command system spbe regional office upt virtual,Negative
262,plt kalapas kendari head of administrative subdivision strong understanding of evaluation organizing spbe electronic bus command system organizing information technology data center minister of law ham ri,Positive
263,kendari class iii women s prison is very active in understanding the evaluation of the implementation of the electronic bus order system until friday,Negative
264,l karsinfo amlapura lpka karangasem is very active  understands the evaluation of holding a strong electronic bus system  spbe is in good practice  the center of the zoom meeting application page,Positive
265,electronic bus command system spbe environment minister of human rights law spbe minister administers information technology benefit order friday,Neutral
266,the implementation of the application of the electronic bus command system regional office of the ministry of law and human rights of east kalimantan is strong in understanding the evaluation of the spbe regional office of upt sofyan,Positive
267,support the establishment of an electronic bus order system at the balikpapan immigration office  a strong evaluation of the environmental spbe of the indonesian ministry of law and human rights,Positive
268,head of community institution gayatri rachmi rilowati structural position jfu class ii female prison bengkulu is active strong understands evaluation of the implementation of spbe electronic bus order system,Positive
269,information on the electronic bus command system spbe rupa organizes information technology benefits orders for the minister of law and human rights of the republic of indonesia,Neutral
270,hi friends  zi gorud  dance friday  the position of employee of the immigration detention center  strong it field  understands evaluation  organizes an electronic bus order system  spbe  regional office  technical unit  virtual zoom,Positive
271,strong friday august understood the evaluation of the implementation of the spbe electronic bus command system in the regional office of the upt technical implementation unit,Positive
272,jajar position structural office of the regional office of the ministry of law and human rights sumsel strong   evaluation of the implementation of the electronic bus command system holds pusdatin,Positive
273,mandatory to save subscriber data uu telecommunication no pp for maintenance of electronic system permenkominfo no personal data protection for electronic system no for maintenance of telecommunication services,Neutral
274,ahmad yohan optimal wise registering electronic system conduct communication and information steps to explore the tax potential of the digital industry sector pan fraction target value of oil lifting,Positive
275,ahmad yohan optimal wise registering electronic system conduct communication and information steps to explore the tax potential of the digital industry sector pan fraction target value of oil lifting,Positive
276,the state has governance regulations to be vigilant against the implementation of pse electronic systems in the private sphere,Neutral
277,organizing goods and services selling electronic information system electronic system support system set the president article number paragraph,Neutral
278,presidential staff office list of pse guarding cyber security in indonesia the state is present governance regulation watch out for the implementation of pse electronic systems private sphere,Neutral
279,pse aims to commit to implementing an electronic system  comply with the law governing the implementation of an electronic system in indonesia,Neutral
280,the state has governance regulations watch out for the implementation of pse electronic systems private sphere jaleswari bina graha building coordination meeting jakarta friday,Neutral
281,online gambling sites violate the law on electronic transaction information numbers  article paragraph  article letter a pp  electronic transaction system regulatory number,Neutral
282,maintenance of the electronic data exchange system to implement the active export of specific commodities,Negative
283,hello minister of communication and informatics menkominfo johnny g plate register for the pse electronic system private sector limits of development of indonesian digital platforms  you know,Neutral
284,pros and cons of digital electronic maintenance systems,Neutral
285,manage the electronic system maintenance register,Neutral
286,gara gara gara wise minister of communication informatics provider of electronic systems brief pse,Positive
287,benefits of business pse records identification of pse registration certificates trust the community build meta ecosystems organize electronic transaction systems official proof of the ministry of communication and information,Neutral
288,ministry of communication and information circular letter of the minister of communication and information no  effective date of the list of electronic system administrators for the private sphere signed in june in full,Positive
289,pp number for organizing the electronic transaction system  set it down  set ite,Negative
290,thus  the implementation of the state electronic system  the pse register  the implementation of the johnny plate electronic system,Neutral
291,please review the pp number for the electronic transaction system  for example  the paypal website is blocking,Neutral
292,minister of tourism  creative economy  sandiaga uno  really hopes that the registration process will hold an electronic pse system that lists permit information,Positive
293,it s okay  bro  defending hi ugm can t understand defending doxing   blasphemy  the pse arrangement for the electronic system is too late to appeal to the state,Positive
294,monday  may act minister of communications  informatics  perkominfo  maintenance of electronic systems  pse  private scope  perkominfo  no ,Neutral
295,definition of article pp maintenance of electronic systems private sphere maintenance of electronic systems of people  businesses  society  society  citizens of indonesia manage the people of the world,Neutral
296,basic frenetic pse permenkominfo no regulates electronic system implementation private scope basic permenkominfo regulates orders no article mandated to regulate the minister,Neutral
297,amendments to the permenkominfo permenkominfo maintenance of electronic systems in the private sphere are eligible to be regulated in the article on the impact of rubber on the face of free express,Positive
298,block pse kominfo digital alert ala orba hello gadjah mada archipelago last july kemkominfo block sites registering pse electronic system,Neutral
299,permenkominfo no selengarga electronic system private scope permenkominfo pse mirror arbitrarily orders facing the public blind minister thdp the people review daffa franchis rakisa w k,Negative
300,pse electronic system operators must comply with indonesian regulations,Neutral
301,here is the arrangement of the pp number for the maintenance of the electronic transaction system of the permenkominfo  the number for the maintenance of the electronic system is private,Neutral
302,build a meta ecosystem organize an electronic transaction system with official proof of registration of kominfo with a trusted site for the tuju sebung community,Neutral
303,electronic system maintenance in the private sphere pse private sphere electronic system maintenance of people  community businesses,Neutral
304,blocking platform for kominfo  platform for registering programs for electronic systems pse blocking the minister of communication and informatics  kominfo  counting saturdays  the steam dota platform  blocking kominfo,Neutral
305,btw  if you re confused  you re curious about the legal basis for managing business data that registers pse  regulates orders  organizes numbers  electronic transaction systems  article,Negative
306,kominfo officially conducts the pse electronic system in accordance with the regulations of the minister of informatics communications minister of communication and information regulation number of pse electronic system organizations in private sector,Neutral
307,thus  the ministry of communication and informatics organizes state electronic systems  registers pse to organize electronic systems,Neutral
308,you talk about a positive pdp bill protecting personal data but you re a hypocrite  look at the regulation on the order number for the electronic transaction system to set the minister of communication and informatics number,Positive
309,such as registration according to the mandate of the article on government regulation number electronic transaction system organizers,Neutral
310,refer pse set order number electronic transaction system organizers set the minister of communication and informatics number,Neutral
311,the minister of roads regulates the order to be removed  regulates the order number for the electronic transaction system,Neutral
312,block the minister of nasdem as stipulating the presidential order of the pdip pp concerning the establishment of an electronic transaction system,Neutral
313,orderly administration of pse involving millions of people  communication and information  present governance of the implementation of a strong electronic business system belonging to business licenses involving millions of people,Positive
314,so indonesian ministry of communication and information had some new program called selenggara sistem elektronik or pse all social media including websites and games etc had to sign form,Positive
315,administering the original electronic system  i don t know  but the core operating platform  indo  told me to register for pse  if not  blocked kominf yesterday when it was busy  so google and friends blocked it,Positive
316,it s open for discussion  bro  if you see that steam is following the rules  register for pse to organize an electronic system  article set pp orders to organize an electronic transaction system  cont,Neutral
317,spbe electronic bus command system spbe organizes commands for the benefits of information technology communication services spbe,Neutral
318,the organization refuses to regulate the regulation of the minister of communication and information on the number of private electronic system pse administrators,Neutral
319,south kalimantan ministry of communications and informatics held outreach on technical guidance on managing local government websites information forum related to public service work level efforts to organize an electronic bus service system,Neutral
320,maintenance of electronic systems  benefits of electronic systems  maintenance of the country  people  business organizations  society,Neutral
321,pse makes it easy for the public to identify trusting content to build a meta ecosystem to organize an indonesian electronic transaction system,Positive
322,pse makes it easy for people to identify content to trust build a meta ecosystem to organize an electronic transaction system,Positive
323,intelligent maintenance of electronic systems,Positive
324,set pse list of goods pp number of electronic transaction system organizer down uu ite mandatory pse list of communication and information means set   years old,Negative
325,it is mandatory to register pse mah  the formalities are already strong  the pp is connected to the private scope of the pp  the electronic transaction system organizer number regulates the minister of communication and information  the electronic system organizer number  private scope,Positive
326,tuesday  july  how to register  organize electronic system  pse  application data  whatsapp  facebook  instagram  netflix  google register,Neutral
327,electronic system maintenance pse the benefits of electronic system maintenance of the country  people  business organizations  society,Neutral
328,if you guys don t know kominfo are going to block some apk that haven t registered to pse selenggara sistem elektronik in eng is electronic system administration if some apk haven t registered they will be block but hey i still have discord,Neutral
329,conduct of public test draft regulation minister of governance subject to administrative sanctions advanced severe subject to administrative sanctions related to the regulation of the implementation of the pste electronic transaction system,Positive
330,interview with the head of the indonesian cyber research institute  cissrec  dr  pratama persadha  related to kominfo  blocking the pse registration application  holding a complete electronic system  listening to fm rrinet   rri playgo amd,Positive
331,indonesia data protection privacy the language in the personal data protection bill that is in order pse basic pd pp organizes electronic transaction systems down kepmen kominfo pse private sphere,Negative
332,trending twitter pse mandatory register for electronic system maintenance benefits of electronic system maintenance for the country people  community businesses,Neutral
333,djki title fgd is strong for maintaining a complete electronic bus command system,Positive
334,rpm designation according to article stipulating pp order number for electronic transaction system johnny plate,Neutral
335,insw task of managing the administration of the indonesian national single window system in the hands of customs documents quarantine documents permit documents for airport documents documents related to export and import electronically,Negative
336,don t like it but understand the context that is required to register kai and pse organize electronic systems private scope simply means tech companies comply with private regulations indo,Neutral
337,seven if you register indo vs collect taxes from foreign businesses use indo if it s not corrupt the application can be trusted guarantee sm kominfo amp can build a meta ecosystem organize an amp system for electronic transactions,Positive
338,ministry of communication and informatics conducts public test  drafts ministerial regulation rpm  subject to heavy administrative sanctions related to regulation on the implementation of the pste electronic transaction system,Negative
339,rpm in a design arrangement similar to the article governing pp orders for electronic transaction system implementation numbers,Neutral
340,rpm is designed to be like article pp number for electronic transaction system administration,Neutral
341,rpm looks like planning and maintaining the electronic transaction amp system,Neutral
342,the designation for the minister of rpm is subject to administrative sanctions and will be subject to administrative sanctions related to the regulation of the implementation of the electronic transaction system,Negative
343,design arrangements like the article regulates pp orders for electronic transaction system implementation numbers,Neutral
344,rpm drafts ministerial regulations for implementation of articles governing pp orders for electronic transaction system implementation numbers,Neutral
345,conduct of public test design regulation ministerial rpm governance subject to administrative sanctions advanced severe subject to administrative sanctions related to regulations on the implementation of electronic transaction systems pste,Positive
346,directorate general of applied applied public tests  drafts ministerial regulations regarding administrative sanctions subject to severe administrative sanctions related to regulations on the implementation of electronic transaction systems,Negative
347,ministry of communication and informatics conducts public test  drafts regulation  minister of rpm is subject to administrative sanctions and is subject to severe administrative sanctions related to the regulation of the implementation of the pste electronic transaction system,Negative
348,ministry of communication and informatics conducts public test  plans to regulate the minister of rpm is subject to administrative sanctions and is subject to severe administrative sanctions related to regulations on the implementation of the pste electronic transaction system,Negative
349,diskominfo sinjai coordination meeting held an electronic bus command system,Neutral
350,actively liaising with internal control systems spip commands for the area of  lampung province bas electronic applications,Negative
351,regional planning consultancy held spbe electronic bus command system,Neutral
352,arrange the number of the minister of communication and informatics to organize the private electronic system,Neutral
353,re register pse mandate set order electronic transaction system organizer number set minister electronic system organizer number private scope change,Neutral
354,pse mandate set order number electronic transaction system organizers set the minister of communication and informatics number,Neutral
355,information on the list of pse for indonesian technology companies  set orders for electronic transaction system implementation numbers,Neutral
356,the list of pse of indonesian technology companies contains set orders for the number of electronic transaction system organizers,Neutral
357,list of pse indonesian technology companies pour out orders for electronic transaction system implementation numbers,Neutral
358,the limit according to article pp no  yr held an electronic transaction system pp,Neutral
359,ministry of communication and information technology business mandatory google facebook twitter netflix list of pse electronic system operations list of operations threatening blocking,Neutral
360,the limit according to the article regulates the order number for the electronic transaction system pp johnny plate,Neutral
361,evaluation of the implementation of wise pkpu number organizing electronic bus command system to encourage open milu data application,Positive
362,spokesperson for kominfo  dedy madi  wisely broke up on the basis of setting the order number for the electronic transaction system to set the minister of communication and informatics number,Positive
363,launch online system single submission oss risk bus august integrated business license system manage   organize oss institution organize business license risk bus,Negative
364,government chief technology officer implemented an electronic bus command system spbe kominfo spurred the construction of a national data center,Negative
365,so pse organizes an electronic system for private scope  like twitter  ig  tiktok  etc  dr ,Neutral
366,fish registration limit for pse implementation limit in accordance with article set order number for electronic transaction system pp,Neutral
367,the limit according to the article regulates the order number for the electronic transaction system pp,Neutral
368,limit dedy in accordance with the article regulates the order number for the electronic transaction system pp,Neutral
369,the deputy ombudsman of the republic of indonesia attends socialization of the national public service complaint management system  serving the aspirations of the people s online contest  sp n report  launching the application  holding an electronic bus order  signing the commitment,Negative
370,command center digital archive system srikandi organizes an electronic bus command system spbe sumedang plan to use e office its features are aligned srikandi,Negative
371,kominfo prevents indonesian data leaks  set orders for electronic transaction system organizer numbers  set orders for electronic system trading numbers,Neutral
372,transfer system national clearing system bank indonesia sknbi bank indonesia organizes clearing fund transfers schedule for processing electronic money data servicing fund transfers,Neutral
373,prevent indonesian data leaks  set order number  organize electronic transaction system  set order number,Neutral
374,prevent indonesian data leaks set orders for electronic transaction system pse organizer numbers set orders for electronic system trade numbers,Neutral
375,subject to regulation by the minister of communication and informatics to prevent leaking of indonesian data  set the order number for the pse electronic transaction system,Negative
376,minister of communication and information  johnny g plate  prevent indonesian data leaks  set the order number for the pse electronic transaction system,Neutral
377,in accordance with the mandate of the article press no change the implementation of pbj like electronics spse system support work handover plan sign in manage electronic catalog ready,Positive
378,review the article regulate the order to organize the electronic transaction system pp pste real types of electronic signatures electronic signature full certification valid strong legal consequences legal signature,Positive
379,strong e commerce scope  umkm ecosystem  creative business climate  pay digital logistics  protect personal data  organize electronic transaction systems  digital infrastructure,Positive
380,sir highlight set down hook organize electronic transaction system pste electronic bus command system spbe,Negative
381,indonesian notary book notary function study book electronic certificate maintenance system certification service provider find a solution to face obstacles facing the country s cybernotary,Negative
382,ti collaboration zulfahmi moderator plt sub coordinator evaluation cooperation ti rohmayani electronic bus command system spbe organizes command benefits information technology communication,Neutral
383,lapas enemawira socializes evaluation public testing by implementing an electronic based command system,Neutral
384,lirung technology data center minister of law and human rights of the republic of indonesia to actively carry out public testing indicators of evaluation of the electronic bus command system spbe regional office regional office technical implementation unit upt,Negative
385,level of implementation of spbe kotamobagu immigration office actively tests public evaluation indicators  organizes spbe electronic bus command system,Negative
386,tondano mei tondano prison tests public indicators evaluation implements electronic bus command system minister of law and human rights,Neutral
387,coordinator of substance standardization of information technology cooperation zulfahmi electronic bus command system spbe organizes command benefits information technology communication service spbe,Neutral
388,jakarta  batimut friends  following up on the letter from the head of the information data center for the secretary of law number dated april regarding the public test of evaluation indicators  the implementation of an electronic bus command system spbe regional office technical implementation unit,Negative
389,active public testing of evaluation indicators held spbe electronic bus command system,Negative
390,steady conception of perception towards the design of the regent s ranperbup organizing the spbe electronic bus command system,Positive
391,operator manages active public test evaluation organizes electronic bus command system spbe organizes regional office of kemenkumham dki jakarta information data center pusdatin,Negative
392,spbe s electronic bus command system administers spbe s service communication information technology benefits command,Neutral
393,the hall of the regional office of the kemenkumham dki jakarta is actively promoting the theme of public testing of evaluation indicators of the implementation of an electronic bus command system,Negative
394,jakarta kanwil kemenkumham dki jakarta synergy information technology data center pusdatin kemenkumham republic of indonesia held socialization on the evaluation of the electronic bus command system spbe wednesday,Negative
395,wednesday may employees of the north jakarta immigration office are actively evaluating the implementation of information technology in order to measure achievement of progressing the level of quality of applying the electronic bus order system,Negative
396,hola chum pika piki bapas south jakarta actively tests public evaluation indicators holding electronic bus command system spbe regional office of kemenkumham dki jakarta fb,Negative
397,jakarta detention center class i pondok bambu regional office of the ministry of law and human rights dki jakarta invites a public test of evaluation indicators organizes an electronic bus command system spbe regional office of the ministry of law and human rights dki jakarta,Negative
398,jakarta wednesday information technology operator class i general meeting office jakarta central regional office kemenkumham dki jakarta actively tests public evaluation indicators holding electronic bus command system spbe rpn,Negative
399,indonesia belongs to the law on the protection of personal data specially regulated partial regulations uu ite pp no organizing electronic transaction system pp pste,Positive
400,informatics communication service code statistics diskominfosanditik behavior review evaluation subject to regulation by the regent to organize an electronic bus command system spbe,Negative
401,his direction is holding a webinar for the road community  roadmap indonesia  digital regulatory framework  setting the president no system bus command system  electronic spbe,Neutral
402,spbe e government electronic bus command system organizes orders for the benefit of service ticks for agencies to order the state civil apparatus to conduct community business,Neutral
403,spbe e government electronic bus command system organizes orders for the benefits of information and communication technology to serve government agencies that command the state civil apparatus to conduct community business,Neutral
404,electronic bus command system opportunities to push the form of implementing participatory open orders innovative accountable regional offices of the ministry of law and human rights diy imam jauhari,Positive
405,published set president of ri number bus command system electronic spbe expectation form held order open participatory innovative accountable added dirjenpas,Positive
406,wrong main focus information technology webinar hook electronic bus command system spbe hook management spbe management spbe organize spbe quickly apply spbe public relations lpka class ii kendari,Negative
407,solid conception of perception of the design of the regent ranperbup organized the electronic bus command system spbe the sidrap district order legislation team opd kait held a coordination meeting,Neutral
408,arrange order no for maintenance of electronic transaction system,Neutral
409,srikandi form manifests as the president s order number electronic bus system spbe synergy of community orders in order to organize national archives,Neutral
410,good afternoon pkpu control number is subject to the election commission s electronic bus order system,Positive
411,regional regulation number organizing electronic bus system wednesday digital benefits work support for the semarang regency government a priority,Neutral
412,members of the ri kpu  viryan  directives in socializing the mobile application  protect your rights  set the kpu number year  organize an electronic bus order system which is being held by the kpu  jepara regency  thursday  the kpu office  jepara regency,Neutral
413,friday kpu brebes regency online socialization of mobile application protect rights   set kpu number organize electronic bus command system kpu jepara regency kpu prov java,Neutral
414,friday  the banyumas kpu socializes the mobile application to protect pkpu rights by holding an electronic bus command system,Neutral
415,the klaten regency kpu is present actively socializing the mobile application to protect rights  the kpu regulates the number of electronic bus order systems friday march online,Negative
416,subject to regulation  regulation of the number down law  regulation of number orders  electronic transaction electronic systems,Negative
417,expert staff of the minister of communication and informatics henri subiakto regulate the technology for the number uu number by descending regulate the order number th regarding the implementation of an electronic system for electronic transactions,Neutral
418,see the progress of the development of electronic systems of the digital economy compares directly to the level of benefits of information and communication technology,Positive
419,dear information regarding the implementation of an electronic transaction system of business behavior  data verification  evidence of a secure transaction system certification,Positive
420,wait for the bill to be valid  set the order number dated october to establish a legal umbrella electronic transaction system,Positive
421,electronic bus command system spbe organizes bawaslu west java online spbe fruit organizes orders for the benefits of information technology communication spbe services,Neutral
422,come in opinion help organize survey order spbe click electronic bus command system,Neutral
423,the west sumatra kpu carries out internalization of the pkpu number held by the electronic bus order system the select commission hall of the sumbar kpu monday january,Neutral
424,enter to protect personal data  only form  set tri number  protect pp personal data  set it like pp number  organize an electronic transaction system  so the enforcement is not strong,Negative
425,january chairman angga lazuardy   habibi data   information division kpu tanggamus attends law on kpu lampung pkpu socialization agenda organizes electronic bus command system kpu   pkpu latest select data,Positive
426,report on kembang spip discuss getting hit by dipa plans to work from home wfh actively discuss pkpu no implementation of kpu s electronic bus command system,Negative
427,business activity standards product standards holding business licenses basing the risks of the telecommunication postal sector electronic transaction systems,Neutral
428,hi episode  kpu karanganyar held a coordination meeting to manage jdih koran  set the kpu ri number regarding the implementation of an online kpu electronic bus command system which is the commissioner secretary of the subdivision head   legal staff thursday,Positive
429,the webinar aims to support such as setting the number order for the electronic transaction system to act on the law on public information disclosure numbers,Neutral
430,the electronic push bus command system exists as long as the open command is maintained,Negative
431,webinar in the form of support such as pp no  organizing an electronic transaction system uu no open public information the kpu s efforts to develop systems in a transparent milu process,Neutral
432,friday december head of data subdivision kpu kampar regency nurhayati staff webinar outreach pkpu no no kpu riau province pkpu no contents organize electronic bus command system,Neutral
433,hello friends  let s see the seven principles of organizing an electronic bus order system  the commission chooses according to the kpu s set link number,Neutral
434,hi  information on legal products is downloaded on the web  so west java kpu  set kpu  organize number  electronic bus command system  select commission,Positive
435,friday december kpu kupang regency chairperson secretary member of subdivision pkpu socialization number organizing electronic bus command system select commission,Neutral
436,kpu west java province data amp digital discussion d pkpu discussion series about organizing bas electronic command system pkpu select commission regarding latest data select wednesday,Positive
437,hi tuesday december kpu east kalimantan province held a socialization set kpu number held electronic bus command system kpu set kpu number,Neutral
438,kpu member ri arief budiman opens official socialization set kpu number organizing kpu electronic bus command system set kpu latest number data select friday,Positive
439,kpu serang regency socialization set kpu pkpu number held electronic bus command system kpu set kpu up to date number select data offline friday,Neutral
440,kpu member ri arief budiman opens official socialization set kpu pkpu number organizes kpu electronic bus command system set kpu number,Neutral
441,kpu member ri arief budiman opens official outreach set kpu pkpu number organizing kpu electronic bus command system,Neutral
442,kpu demak regency socialization pkpu number organizing election commission electronic bus command system,Neutral
443,avi room kpu magelang regency held a legal review on pkpu surgery theme number held electronic bus command system vote commission thursday,Positive
444,hi  kpu magelang  good evening  kpu  magelang regency  is holding a legal review ,Positive
445,regular weekly plenary meeting optimization of absorption fencing up to date coordination meeting schedule dpb technical guidance so routine discussion discusses pkpu no implementation of kpu electronic bus command system,Neutral
446,monday may the official communication of information and communication regulates the minister of communication of informatics the number of electronic systems private sphere permenkominfo regulates potential danger free express,Positive
447,the head of pusdatin kemenkumham ri warmly welcomes the direction of having to organize an electronic bernas order system spbe class ii immigration office tpi singkawang,Positive
448,friday  the singkawang immigration office received a visit from work  head of data center   information technology minister of law  ham ri hermansyah siregar ,Negative
449,fintech online lending is providing money services that meet loans and accept loans in the context of conducting loan agreements in rupiah currency directly electronic systems with internet networks,Positive
450,may kominfo officially enforce regulations minister of communication informatics number organizing electronic system private sphere permenkominfo regulates potential dangers free express threatens privacy,Positive
451,ministry of communication and information issues ministerial regulation no    regarding the implementation of pse electronic systems in the private sphere  regulates the potential dangers of express free   threatens digital rights  seeks more regulations  discusses lists,Positive
452,wrong pp no  maintenance of electronic transaction system article verse,Negative
453,pkpu number organizes an electronic bus order system commission select link,Neutral
454,set kpu number organize electronic bus order system commission select link,Neutral
455,reposted legal product information downloaded web jdih kpu pkpu no organizing electronic bus command system kpu pkpu latest no data select,Positive
456,managing personal data on the behavior of the fine police by implementing the spbe electronic bus command system,Positive
457,quite basic news press pp electronic bus command system organizes electronic transaction system kominfo simple talk data center triggers merger,Negative
458,tppu and fake business license  registration certificate of electronic system operator  entering uu year number,Negative
459,equity crowdfunding bas information technology provides bidding services for salable securities to sell direct securities net capital electronic systems that are open for business licenses that require,Positive
460,in accordance with the president s regulation number achieved effective efficient efficient bureaucratic organization focused effort manifest results applied work management support applied electronic bus system,Positive
461,efforts to reform the bureaucracy apply the spbe electronic bus command system to hope for a level of accountability for command governance,Neutral
462,minister of communication and information johnny g plate real organizes a national electronic bus command system such as integration minister pan rb minister of vat bappenas minister of money head of bbpt head of bssn minister of home affairs minister of communication and information,Positive
463,minister of communication and information digitalization spbe level of accountability command efforts to reform the bureaucracy apply to organize an electronic bus command system spbe level of accountability governace orders,Neutral
464,the effort to reform the bureaucracy is to implement an electronic bus command system  spbe  gadang gadang  the level of accountability for orders,Neutral
465,snizen electronic bus command system spbe how to organize orders information technology benefits communication services apply spbe hope order management,Neutral
466,prudent steps for the ojk moratorium  bkpm  minister of cooperatives  umkm  institutions to organize an electronic money service system,Neutral
467,prevent illegal loans  mushrooms  kominfo  moratorium on registering electronic systems,Negative
468,the minister of communication and informatics is acting vigilantly in accordance with the mandate of the law on electronic transaction information law uu ite stipulates an order to establish an electronic transaction system pp pste,Neutral
469,incorrectly leaking data refer to the order number of the electronic transaction system organizer,Neutral
470,kominfo  communication  google apple  register for electronic system management  google play store  app store  proof of license issue  ojk  fintech  involved,Neutral
471,issued a moratorium to issue permits for legal fintech loans and issued a moratorium issued an electronic system not for illegal loans,Negative
472,ojk the minister of communications and informatics applies the moratorium to issue fintech permits for online borrowing moratorium on implementing an online borrowing electronic system,Neutral
473,the president of the moratorium on borrowing permits for the moratorium was issued to organize an electronic loan system,Neutral
474,kominfo moratorium issued an electronic loan system,Neutral
475,hello bpn monday tuesday october hotel gran mahakam is actively monitoring the evaluation of organizing information technology governance for the implementation of the spbe electronic bus command system,Negative
476,set orders to set up an electronic transaction system focus on electronic transaction systems on the public s personal data  limit the need for transactions,Neutral
477,leaked tokopedia account data  evidence that the ministry of communication and informatics has the authority to act on an alert against the implementation of an electronic system that has misbehaved in accordance with its authority,Neutral
478,administering the electronic system is required to operate the protected electronic system in full  authentic  confidential  access to electronic information  administer the sist via,Positive
479,applying technology bppt i dipi ing meldy layooart know the electronic bas command system spbe electronic bas command system spbe organizes commands benefit information communication technology,Neutral
480,care application protect submit set president system number organize electronic bus orders technical requirements sign in set set cyber agency state code bssn number,Neutral
481,the commission chooses to hold a meeting to harmonize the kpu s regulatory design and organize an electronic bus command system for the kpu s environment,Neutral
482,the commission chooses to hold a meeting to harmonize the design and arrangement of the kpu to hold an electronic bus order system spbe environment kpu attends the meeting,Neutral
483,actively aiming to discuss the design and control of the kpu to implement an electronic bus order system within the select commission s form of the select commission,Negative
484,spbe s electronic bus command system organizes orders for the benefit of information technology  communication  spbe services  set the president s number,Neutral
485,oh  yes  the free enroll course discusses the implementation of the pse electronic system  please share with your friends,Positive
486,yes  the website is registered  but it doesn t register  i m confused  come on  of course  the title is holding a list of electronic systems,Negative
487,bank indonesia national clearing system sknbi infrastructure bank indonesia organizes clearing fund transfers dke electronic money data processing schedule,Neutral
488,the function of issuing electronic certificates  holding electronic certification  guarantees the security of implementing electronic systems,Neutral
489,maintenance of electronic transaction system maintenance of electronic transaction mandatory electronic certificate issued maintenance of indonesian electronic certification,Neutral
490,order to support the implementation of an electronic bus command system information technology data center minister of law of human rights of the republic of indonesia carry out socialization of the benefits of virtual electronic certificates,Negative
491,active behavior following up on articles of permenkumham number organizing system of electronic bus command spbe work appointment minister of law of human rights cyber  agency national code,Negative
492,the behavior of setting orders is subject to the implementation of a competitive electronic transaction system available at the indonesian data center level,Positive
493,take steps to respond to the suspicion of leaking personal data of the ehac application according to the mandate of the pp  the electronic transaction system pste regulates the law,Neutral
494,advice from the minister of optimal informatics communication regulation procedure set pp no electronic transaction system organizers permenkominfo no protection of personal data electronic system,Neutral
495,take steps to respond to the alleged leak of personal data on the ehac application according to the mandate of pp no regarding the establishment of an electronic transaction system pste to regulate a law,Negative
496,the core of the maintenance of the electronic command system of the canang kayak,Neutral
497,in accordance with the provisions of the law  pp no  organizes the electronic transaction system pp pste pres no  indonesian data initiative,Neutral
498,teach the maintenance aspects of electronic systems  be patient  the course will be fine hahaha,Positive
499,electronic system maintenance is mandatory for the operation of the electronic system  ready access to electronic information is required for electronic system maintenance,Positive
